id, light, soil_humidity, air_humidity, temperature,
P_01_HOME,95,42,54,95,
P_03_HOME,99,39,63,99,
P_02_HOME,99,42,45,99,
P_01_HOME,96,42,55,96,
P_03_HOME,96,39,62,96,
P_02_HOME,99,42,44,99,
P_01_HOME,98,40,54,98,
P_03_HOME,96,39,62,96,
P_02_HOME,97,42,45,97,
P_01_HOME,95,41,54,95,
P_03_HOME,97,39,63,97,
P_02_HOME,96,42,44,96,
P_01_HOME,97,39,55,97,
P_03_HOME,97,39,62,97,
P_02_HOME,98,41,44,98,
P_01_HOME,96,39,56,96,
P_03_HOME,99,41,61,99,
P_02_HOME,95,41,43,95,
P_01_HOME,98,39,55,98,
P_03_HOME,98,39,62,98,
P_02_HOME,95,40,43,95,
P_01_HOME,95,41,54,95,
P_03_HOME,96,39,62,96,
P_02_HOME,97,41,43,97,
P_01_HOME,94,39,53,94,
P_03_HOME,98,41,61,98,
P_02_HOME,99,41,44,99,
P_01_HOME,94,41,54,94,
P_03_HOME,94,41,61,94,
P_02_HOME,97,40,43,97,
P_01_HOME,94,39,54,94,
P_03_HOME,96,39,62,96,
P_02_HOME,98,42,42,98,
P_01_HOME,93,40,55,93,
P_03_HOME,95,40,61,95,
P_02_HOME,98,40,42,98,
P_01_HOME,94,42,56,94,
P_03_HOME,95,42,60,95,
P_02_HOME,98,42,41,98,
P_01_HOME,93,42,56,93,
P_03_HOME,95,40,59,95,
P_02_HOME,98,41,41,98,
P_01_HOME,92,40,55,92,
P_03_HOME,97,40,59,97,
P_02_HOME,96,41,42,96,
P_01_HOME,92,40,54,92,
P_03_HOME,98,42,59,98,
P_02_HOME,98,41,42,98,
P_01_HOME,92,42,53,92,
P_03_HOME,94,42,58,94,
P_02_HOME,95,40,43,95,
P_01_HOME,93,41,53,93,
P_03_HOME,96,40,59,96,
P_02_HOME,94,40,44,94,
P_01_HOME,93,40,52,93,
P_03_HOME,95,40,60,95,
P_02_HOME,96,40,44,96,
P_01_HOME,95,42,53,95,
P_03_HOME,94,40,61,94,
P_02_HOME,97,40,43,97,
P_01_HOME,95,40,54,95,
P_03_HOME,94,42,62,94,
P_02_HOME,97,42,42,97,
P_01_HOME,97,40,55,97,
P_03_HOME,93,40,62,93,
P_02_HOME,96,40,42,96,
P_01_HOME,96,42,55,96,
P_03_HOME,93,41,61,93,
P_02_HOME,96,42,43,96,
P_01_HOME,95,42,56,95,
P_03_HOME,92,39,62,92,
P_02_HOME,98,40,44,98,
P_01_HOME,96,41,56,96,
P_03_HOME,91,41,62,91,
P_02_HOME,97,40,43,97,
P_01_HOME,96,39,57,96,
P_03_HOME,90,40,61,90,
P_02_HOME,97,40,42,97,
P_01_HOME,95,40,57,95,
P_03_HOME,92,40,62,92,
P_02_HOME,98,42,42,98,
P_01_HOME,94,42,57,94,
P_03_HOME,93,40,61,93,
P_02_HOME,95,42,42,95,
P_01_HOME,94,42,58,94,
P_03_HOME,94,42,61,94,
P_02_HOME,97,42,43,97,
P_01_HOME,96,42,57,96,
P_03_HOME,96,42,60,96,
P_02_HOME,97,42,42,97,
P_01_HOME,96,40,56,96,
P_03_HOME,97,41,60,97,
P_02_HOME,98,40,42,98,
P_01_HOME,96,40,56,96,
P_03_HOME,96,39,60,96,
P_02_HOME,95,42,42,95,
P_01_HOME,98,40,55,98,
P_03_HOME,96,41,60,96,
P_02_HOME,94,42,41,94,
P_01_HOME,97,42,56,97,
P_03_HOME,98,41,59,98,
P_02_HOME,96,40,42,96,
P_01_HOME,97,41,57,97,
P_03_HOME,97,41,59,97,
P_02_HOME,98,41,41,98,
